version,1.3.0
info,team,Mumbai Indians
info,team,Chennai Super Kings
info,gender,male
info,season,2020/21
info,date,2020/09/19
info,competition,Indian Premier League
info,match_number,1
info,venue,Sheikh Zayed Stadium
info,city,Abu Dhabi
info,toss_winner,Chennai Super Kings
info,toss_decision,field
info,player_of_match,AT Rayudu
info,umpire,CB Gaffaney
info,umpire,VK Sharma
info,reserve_umpire,UV Gandhe
info,tv_umpire,S Ravi
info,match_referee,M Nayyar
info,winner,Chennai Super Kings
info,winner_wickets,5
ball,1,8.4,Mumbai Indians,SS Tiwary,SA Yadav,RA Jadeja,4,0,"",""
ball,1,8.5,Mumbai Indians,SS Tiwary,SA Yadav,RA Jadeja,1,0,"",""
ball,1,8.6,Mumbai Indians,SA Yadav,SS Tiwary,RA Jadeja,1,0,"",""
ball,1,9.1,Mumbai Indians,SA Yadav,SS Tiwary,PP Chawla,0,1,"",""
ball,1,9.2,Mumbai Indians,SA Yadav,SS Tiwary,PP Chawla,0,0,"",""
ball,1,9.3,Mumbai Indians,SA Yadav,SS Tiwary,PP Chawla,1,0,"",""
ball,1,9.4,Mumbai Indians,SS Tiwary,SA Yadav,PP Chawla,0,0,"",""
ball,1,9.5,Mumbai Indians,SS Tiwary,SA Yadav,PP Chawla,0,0,"",""
ball,1,9.6,Mumbai Indians,SS Tiwary,SA Yadav,PP Chawla,1,0,"",""
ball,1,9.7,Mumbai Indians,SA Yadav,SS Tiwary,PP Chawla,0,0,"",""
ball,1,10.1,Mumbai Indians,SS Tiwary,SA Yadav,DL Chahar,1,0,"",""
ball,1,10.2,Mumbai Indians,SA Yadav,SS Tiwary,DL Chahar,0,0,"",""
ball,1,10.3,Mumbai Indians,SA Yadav,SS Tiwary,DL Chahar,1,0,"",""
ball,1,10.4,Mumbai Indians,SS Tiwary,SA Yadav,DL Chahar,2,0,"",""
ball,1,10.5,Mumbai Indians,SS Tiwary,SA Yadav,DL Chahar,1,0,"",""
ball,1,10.6,Mumbai Indians,SA Yadav,SS Tiwary,DL Chahar,0,1,"",""
ball,1,10.7,Mumbai Indians,SA Yadav,SS Tiwary,DL Chahar,0,0,caught,SA Yadav
ball,1,11.1,Mumbai Indians,SS Tiwary,HH Pandya,RA Jadeja,1,0,"",""
ball,1,11.2,Mumbai Indians,HH Pandya,SS Tiwary,RA Jadeja,0,0,"",""
ball,1,11.3,Mumbai Indians,HH Pandya,SS Tiwary,RA Jadeja,0,0,"",""
ball,1,11.4,Mumbai Indians,HH Pandya,SS Tiwary,RA Jadeja,0,0,"",""
ball,1,11.5,Mumbai Indians,HH Pandya,SS Tiwary,RA Jadeja,6,0,"",""
ball,1,11.6,Mumbai Indians,HH Pandya,SS Tiwary,RA Jadeja,6,0,"",""
ball,1,12.1,Mumbai Indians,SS Tiwary,HH Pandya,L Ngidi,0,0,"",""
ball,1,12.2,Mumbai Indians,SS Tiwary,HH Pandya,L Ngidi,2,0,"",""
ball,1,12.3,Mumbai Indians,SS Tiwary,HH Pandya,L Ngidi,4,0,"",""
ball,1,12.4,Mumbai Indians,SS Tiwary,HH Pandya,L Ngidi,4,0,"",""
ball,1,12.5,Mumbai Indians,SS Tiwary,HH Pandya,L Ngidi,1,0,"",""
ball,1,12.6,Mumbai Indians,HH Pandya,SS Tiwary,L Ngidi,0,0,"",""
ball,1,13.1,Mumbai Indians,SS Tiwary,HH Pandya,PP Chawla,1,0,"",""
ball,1,13.2,Mumbai Indians,HH Pandya,SS Tiwary,PP Chawla,1,0,"",""
ball,1,13.3,Mumbai Indians,SS Tiwary,HH Pandya,PP Chawla,2,0,"",""
ball,1,13.4,Mumbai Indians,SS Tiwary,HH Pandya,PP Chawla,0,0,"",""
ball,1,13.5,Mumbai Indians,SS Tiwary,HH Pandya,PP Chawla,1,0,"",""
ball,1,13.6,Mumbai Indians,HH Pandya,SS Tiwary,PP Chawla,0,0,"",""
ball,1,14.1,Mumbai Indians,SS Tiwary,HH Pandya,RA Jadeja,0,0,caught,SS Tiwary
ball,1,14.2,Mumbai Indians,KA Pollard,HH Pandya,RA Jadeja,1,0,"",""
ball,1,14.3,Mumbai Indians,HH Pandya,KA Pollard,RA Jadeja,1,0,"",""
ball,1,14.4,Mumbai Indians,KA Pollard,HH Pandya,RA Jadeja,1,0,"",""
ball,1,14.5,Mumbai Indians,HH Pandya,KA Pollard,RA Jadeja,0,0,caught,HH Pandya
ball,1,14.6,Mumbai Indians,KH Pandya,KA Pollard,RA Jadeja,2,0,"",""
ball,1,15.1,Mumbai Indians,KA Pollard,KH Pandya,PP Chawla,0,0,"",""
ball,1,15.2,Mumbai Indians,KA Pollard,KH Pandya,PP Chawla,6,0,"",""
ball,1,15.3,Mumbai Indians,KA Pollard,KH Pandya,PP Chawla,1,0,"",""
ball,1,15.4,Mumbai Indians,KH Pandya,KA Pollard,PP Chawla,1,0,"",""
ball,1,15.5,Mumbai Indians,KA Pollard,KH Pandya,PP Chawla,0,0,"",""
ball,1,15.6,Mumbai Indians,KA Pollard,KH Pandya,PP Chawla,2,0,"",""
ball,1,16.1,Mumbai Indians,KH Pandya,KA Pollard,L Ngidi,0,0,caught,KH Pandya
ball,1,16.2,Mumbai Indians,JL Pattinson,KA Pollard,L Ngidi,1,0,"",""
ball,1,16.3,Mumbai Indians,KA Pollard,JL Pattinson,L Ngidi,1,0,"",""
ball,1,16.4,Mumbai Indians,JL Pattinson,KA Pollard,L Ngidi,1,0,"",""
ball,1,16.5,Mumbai Indians,KA Pollard,JL Pattinson,L Ngidi,1,0,"",""
ball,1,16.6,Mumbai Indians,JL Pattinson,KA Pollard,L Ngidi,0,0,"",""
ball,1,17.1,Mumbai Indians,KA Pollard,JL Pattinson,SM Curran,1,0,"",""
ball,1,17.2,Mumbai Indians,JL Pattinson,KA Pollard,SM Curran,4,0,"",""
ball,1,17.3,Mumbai Indians,JL Pattinson,KA Pollard,SM Curran,1,0,"",""
ball,1,17.4,Mumbai Indians,KA Pollard,JL Pattinson,SM Curran,4,0,"",""
ball,1,17.5,Mumbai Indians,KA Pollard,JL Pattinson,SM Curran,0,0,"",""
ball,1,17.6,Mumbai Indians,KA Pollard,JL Pattinson,SM Curran,0,1,"",""
