pos,name,team_no,team_name,pts,mat,wkts,dots,4s,6s,catches,stumpings
1,Adam Gilchrist     ,2,DEC,281.5,16,0,0,54,29,10,29
2,Suresh Raina ,1,CSK,265.0,14,7,57,37,21,7,21
3,Jacques Kallis ,9,RCB,265.0,15,6,111,37,8,5,8
4,RP Singh     ,2,DEC,261.5,16,23,171,0,0,4,0
5,Irfan Pathan ,4,KXIP,254.0,14,17,121,17,6,4,6
6,Matthew Hayden ,1,CSK,239.5,12,0,0,60,22,5,22
7,Anil Kumble ,9,RCB,224.0,16,21,138,2,0,3,0
8,Yusuf Pathan ,8,RR,214.5,13,7,83,24,12,2,12
9,Dwayne Bravo ,6,MI,212.5,11,11,91,15,8,7,8
10,Lasith Malinga ,6,MI,212.0,13,18,144,0,0,2,0
11,Rohit Sharma     ,2,DEC,208.0,16,11,39,22,18,5,18
12,Muttiah Muralitharan ,1,CSK,207.5,13,14,146,1,0,4,0
13,Yuvraj Singh ,4,KXIP,205.0,14,6,48,25,16,7,16
14,Shane Warne ,8,RR,203.0,13,14,110,6,4,6,4
15,Praveen Kumar ,9,RCB,192.5,13,13,121,1,6,1,6
16,Harbhajan Singh ,6,MI,187.0,13,12,105,6,5,3,5
17,Munaf Patel ,8,RR,184.0,11,16,108,5,0,3,0
18,Albie Morkel ,1,CSK,183.0,12,13,101,8,4,1,4
19,Brad Hodge ,5,KKR,180.0,12,7,34,34,9,2,9
20,Ishant Sharma ,3,DC,179.5,11,11,130,1,1,2,1
21,Ishant Sharma ,5,KKR,179.5,11,11,130,1,1,2,1
22,Pragyan Ojha     ,2,DEC,176.0,15,18,108,0,0,2,0
23,Piyush Chawla ,4,KXIP,175.5,14,12,111,3,0,6,0
24,JP Duminy ,6,MI,171.5,13,4,44,26,11,4,11
25,Andrew Symonds     ,2,DEC,169.0,8,7,66,15,11,1,11
26,Amit Mishra ,3,DC,166.0,11,14,100,2,2,2,2
27,Sachin Tendulkar ,6,MI,151.5,13,0,4,39,10,6,10
28,Herschelle Gibbs     ,2,DEC,149.5,14,0,0,32,12,11,12
29,Ravindra Jadeja ,8,RR,148.5,13,6,44,21,6,4,6
30,Roelof van der Merwe ,9,RCB,142.5,10,9,53,8,8,4,8
31,Sanath Jayasuriya ,6,MI,140.5,12,7,29,23,7,2,7
32,Tirumalasetti Suman     ,2,DEC,126.5,12,5,31,18,8,2,8
33,Brendon McCullum ,5,KKR,124.5,13,0,0,27,12,6,12
34,YA Abdulla ,4,KXIP,124.0,9,14,75,0,0,0,0
35,Lakshmipathy Balaji ,1,CSK,123.0,13,13,70,0,0,3,0
36,Shadab Jakati ,1,CSK,122.5,9,13,62,3,0,3,0
37,Chris Gayle ,5,KKR,120.5,7,1,32,15,10,5,10
38,Ryan Harris     ,2,DEC,117.5,8,6,84,0,0,5,0
39,Vinay Kumar ,9,RCB,117.5,11,9,65,4,1,3,1
40,Dwayne Smith     ,2,DEC,116.0,8,1,30,12,15,0,15
41,Virat Kohli ,9,RCB,115.5,16,0,10,22,8,9,8
42,Abhishek Nayar ,6,MI,110.5,13,4,27,14,7,4,7
43,Kumar Sangakkara ,4,KXIP,110.0,14,0,0,29,5,6,5
44,Ross Taylor ,9,RCB,110.0,11,0,0,20,15,3,15
45,MS Dhoni ,1,CSK,106.5,14,0,0,22,9,4,9
46,Ajit Agarkar ,5,KKR,104.0,11,6,65,3,3,0,3
47,Brett Lee ,4,KXIP,97.5,5,5,69,2,1,1,1
48,Murali Kartik ,5,KKR,93.5,10,4,77,0,0,1,0
49,Dimitri Mascarenhas ,8,RR,91.5,5,6,58,4,0,1,0
50,Amit Singh ,8,RR,87.5,5,9,56,0,0,0,0
51,Mahela Jayawardene ,4,KXIP,87.0,10,0,0,17,7,8,7
52,Jacob Oram ,1,CSK,85.5,11,5,29,5,4,5,4
53,Shanthakumaran Sreesanth ,4,KXIP,85.5,7,6,62,1,0,0,0
54,Rahul Dravid ,9,RCB,85.5,13,0,0,28,3,2,3
55,Venugopal Rao     ,2,DEC,85.0,16,4,28,6,3,7,3
56,Sourav Ganguly ,5,KKR,85.0,13,2,17,13,6,3,6
57,Dhawal Kulkarni ,6,MI,85.0,8,5,65,0,0,1,0
58,Ashok Dinda ,5,KKR,83.5,9,4,67,0,0,1,0
59,Naman Ojha ,8,RR,81.0,8,0,0,11,11,2,11
60,Sudeep Tyagi ,1,CSK,79.0,8,5,59,0,0,1,0
61,Ramesh Powar ,4,KXIP,79.0,9,5,49,2,0,3,0
62,Graeme Smith ,8,RR,78.5,12,0,0,27,1,3,1
63,Jesse Ryder ,9,RCB,78.0,5,3,40,9,0,2,0
64,Zaheer Khan ,6,MI,77.0,6,6,51,0,0,2,0
