pos,name,team_no,team_name,pts,mat,wkts,dots,4s,6s,catches,stumpings
1,Virat Kohli ,9,RCB,356.5,16,0,1,83,38,6,38
2,David Warner ,62,SRH,338.5,17,0,0,88,31,4,31
3,AB de Villiers ,9,RCB,319.5,16,0,0,57,37,19,37
4,Shane Watson ,9,RCB,283.0,16,20,121,14,12,6,12
5,Bhuvneshwar Kumar ,62,SRH,270.0,17,23,156,6,1,6,1
6,Chris Morris ,3,DC,247.0,12,13,102,15,12,8,12
7,Dwayne Smith     ,433,GL,229.0,12,8,40,35,16,7,16
8,Andre Russell ,5,KKR,225.0,12,15,90,10,15,2,15
9,Moises Henriques ,62,SRH,217.0,17,12,89,15,6,11,6
10,Mitchell McClenaghan ,6,MI,203.0,14,17,128,2,3,0,3
11,Dhawal Kulkarni     ,433,GL,203.0,14,18,130,2,0,2,0
12,Mustafizur Rahman ,62,SRH,201.5,16,17,137,0,0,2,0
13,Dwayne Bravo     ,433,GL,198.5,15,17,93,11,1,6,1
14,Quinton de Kock ,3,DC,185.5,13,0,0,52,13,2,13
15,Sandeep Sharma ,4,KXIP,184.5,14,15,127,0,0,2,0
16,Ajinkya Rahane     ,434,RPS,184.0,14,0,0,54,9,7,9
17,Rohit Sharma ,6,MI,183.5,14,0,0,49,16,2,16
18,Yuzvendra Chahal ,9,RCB,183.5,13,21,100,0,0,4,0
19,Axar Patel ,4,KXIP,179.5,14,13,91,4,8,2,8
20,Krunal Pandya ,6,MI,179.5,12,6,53,22,13,2,13
21,Praveen Kumar     ,433,GL,178.5,16,9,132,4,0,2,0
22,Robin Uthappa ,5,KKR,175.5,15,0,0,45,8,10,8
23,Lokesh Rahul ,9,RCB,171.0,14,0,0,37,16,5,16
24,Shikhar Dhawan ,62,SRH,168.0,17,0,0,51,8,5,8
25,Murali Vijay ,4,KXIP,167.0,14,0,2,50,10,2,10
26,Jasprit Bumrah ,6,MI,165.5,14,15,108,1,0,1,0
27,Suresh Raina     ,433,GL,165.0,15,0,15,39,10,7,10
28,Mohit Sharma ,4,KXIP,161.0,14,13,97,3,1,3,1
29,Barinder Sran ,62,SRH,161.0,14,14,107,0,0,2,0
30,Harbhajan Singh ,6,MI,159.0,14,9,83,11,2,4,2
31,Gautam Gambhir ,5,KKR,158.5,15,0,0,54,6,1,6
32,Aaron Finch     ,433,GL,158.5,13,0,0,45,11,3,11
33,Ravindra Jadeja     ,433,GL,158.0,15,8,71,14,4,4,4
34,Thisara Perera     ,434,RPS,156.0,12,9,56,7,11,5,11
35,Chris Gayle ,9,RCB,154.0,10,2,21,17,21,4,21
36,Sunil Narine ,5,KKR,153.5,11,11,110,0,0,2,0
37,Yusuf Pathan ,5,KKR,153.0,15,1,14,33,13,3,13
38,Brendon McCullum     ,433,GL,151.0,16,0,0,38,16,0,16
39,Tim Southee ,6,MI,150.0,11,9,99,1,2,4,2
40,Zaheer Khan ,3,DC,148.5,12,10,111,1,0,0,0
