pos,name,team_no,team_name,pts,mat,wkts,dots,4s,6s,catches,stumpings
1,Jacques Kallis ,9,RCB,380.0,16,13,118,67,9,7,9
2,Andrew Symonds     ,2,DEC,329.5,16,12,107,35,18,12,18
3,Suresh Raina ,1,CSK,276.5,16,6,41,45,22,10,22
4,Irfan Pathan ,4,KXIP,248.0,14,15,98,21,10,4,10
5,Kieron Pollard ,6,MI,242.5,14,15,58,23,17,6,17
6,Yusuf Pathan ,8,RR,239.0,14,5,60,22,24,9,24
7,Sachin Tendulkar ,6,MI,233.0,15,0,0,86,3,3,3
8,Harbhajan Singh ,6,MI,224.0,15,17,102,12,5,6,5
9,Dale Steyn ,9,RCB,224.0,15,15,164,2,0,1,0
10,Anil Kumble ,9,RCB,218.0,16,17,151,0,0,3,0
11,Pragyan Ojha     ,2,DEC,217.5,16,21,134,0,0,4,0
12,Sourav Ganguly ,5,KKR,217.0,14,0,2,58,15,7,15
13,Albie Morkel ,1,CSK,213.5,14,11,97,10,13,3,13
14,Murali Vijay ,1,CSK,208.5,15,0,0,36,26,11,26
15,Amit Mishra ,3,DC,203.0,14,17,131,1,0,4,0
16,Rohit Sharma     ,2,DEC,201.5,16,2,33,36,14,9,14
17,Virender Sehwag ,3,DC,200.0,14,3,18,47,14,2,14
18,Mahela Jayawardene ,4,KXIP,188.5,13,0,0,55,11,5,11
19,Zaheer Khan ,6,MI,183.0,14,15,107,3,1,5,1
20,Muttiah Muralitharan ,1,CSK,181.0,12,15,121,0,0,3,0
21,Chris Gayle ,5,KKR,179.0,9,4,29,30,16,2,16
22,Ravichandran Ashwin ,1,CSK,178.0,12,13,125,2,0,1,0
23,Lasith Malinga ,6,MI,173.5,13,15,116,0,0,2,0
24,Naman Ojha ,8,RR,172.5,14,0,0,42,15,4,15
25,Robin Uthappa ,9,RCB,172.0,16,0,0,21,27,7,27
26,Vinay Kumar ,9,RCB,169.5,14,16,101,1,0,4,0
27,Yuvraj Singh ,4,KXIP,166.5,14,5,45,20,14,2,14
28,Angelo Mathews ,5,KKR,166.5,14,8,58,18,8,3,8
29,Adam Gilchrist     ,2,DEC,166.0,16,0,0,31,16,9,16
30,Shane Watson ,8,RR,166.0,6,6,61,18,9,3,9
31,Matthew Hayden ,1,CSK,163.5,16,0,0,37,16,6,16
32,Kumar Sangakkara ,4,KXIP,162.5,13,0,0,47,5,6,5
33,Piyush Chawla ,4,KXIP,161.0,14,12,94,7,0,3,0
34,Ryan Harris     ,2,DEC,155.5,8,14,82,2,2,5,2
35,Ambati Rayudu ,6,MI,148.0,14,0,0,34,13,6,13
36,Doug Bollinger ,1,CSK,147.0,8,12,94,1,1,2,1
37,RP Singh     ,2,DEC,147.0,12,13,99,0,0,1,0
38,Praveen Kumar ,9,RCB,145.0,12,10,110,0,0,0,0
39,Michael Lumb ,8,RR,143.5,11,0,0,45,6,4,6
40,Saurabh Tiwary ,6,MI,143.0,16,0,0,29,18,3,18
41,Shane Warne ,8,RR,137.5,14,11,94,0,0,2,0
42,David Warner ,3,DC,136.5,11,0,0,27,14,8,14
43,Shadab Jakati ,1,CSK,130.0,11,13,82,0,0,1,0
44,Murali Kartik ,5,KKR,126.0,10,9,77,2,0,5,0
45,Subramaniam Badrinath ,1,CSK,122.5,16,0,0,41,5,1,5
46,Ravi Bopara ,4,KXIP,121.5,10,5,21,25,3,4,3
47,Virat Kohli ,9,RCB,121.5,16,0,7,26,12,3,12
48,Kevin Pietersen ,9,RCB,121.5,7,3,18,23,8,3,8
49,Siddharth Trivedi ,8,RR,121.0,11,11,69,3,1,1,1
50,MS Dhoni ,1,CSK,120.5,13,0,0,26,8,5,8
51,Paul Collingwood ,3,DC,119.5,8,5,24,9,13,4,13
52,Dirk Nannes ,3,DC,118.5,9,7,89,0,0,2,0
53,Shaun Tait ,8,RR,118.5,8,10,70,0,1,4,1
54,Dinesh Karthik ,3,DC,116.0,14,0,0,26,6,6,6
55,Herschelle Gibbs     ,2,DEC,111.5,10,0,0,26,9,6,9
56,Manish Pandey ,9,RCB,109.5,13,0,0,27,7,7,7
57,Tirumalasetti Suman     ,2,DEC,109.0,14,0,2,23,12,3,12
58,Shane Bond ,5,KKR,109.0,8,9,75,0,0,1,0
59,Ryan McLaren ,6,MI,105.5,10,4,69,7,0,2,0
60,Rahul Dravid ,9,RCB,105.5,16,0,0,34,3,4,3
61,Pradeep Sangwan ,3,DC,104.0,8,9,70,0,0,1,0
62,Manvinder Bisla ,4,KXIP,101.0,10,0,0,27,6,5,6
63,Chaminda Vaas     ,2,DEC,100.5,6,9,63,1,1,0,1
64,MF Maharoof ,3,DC,96.5,7,8,54,2,2,1,2
65,Ashok Dinda ,5,KKR,95.5,7,9,64,0,0,0,0
66,Gautam Gambhir ,3,DC,94.5,11,0,0,32,2,3,2
67,Dwayne Bravo ,6,MI,93.5,10,4,48,3,4,4,4
68,Manoj Tiwary ,5,KKR,90.5,13,1,2,23,5,4,5
69,Harmeet Singh Bansal     ,2,DEC,88.0,8,8,60,0,0,0,0
70,Lakshmipathy Balaji ,1,CSK,85.5,7,7,50,1,1,2,1
71,Ishant Sharma ,5,KKR,81.0,7,7,54,0,0,1,0
72,Shikhar Dhawan ,6,MI,80.5,10,0,0,23,3,5,3
73,Umesh Yadav ,3,DC,78.5,7,6,55,0,0,1,0
74,Shalabh Srivastava ,4,KXIP,77.5,8,6,54,0,0,1,0
75,Dilhara Fernando ,6,MI,77.0,5,7,50,0,0,1,0
76,Abhishek Jhunjhunwala ,8,RR,76.0,13,0,12,16,4,4,4
77,JP Duminy ,6,MI,74.0,7,1,13,13,5,3,5
78,Ramesh Powar ,4,KXIP,72.5,7,3,62,0,0,0,0
79,Ashish Nehra ,3,DC,71.5,4,6,37,2,1,2,1
80,Mohnish Mishra     ,2,DEC,68.5,11,0,0,18,6,1,6
81,Rahul Sharma     ,2,DEC,68.5,6,5,40,3,1,0,1
82,Juan Theron ,4,KXIP,67.5,7,6,44,0,0,1,0
83,Shanthakumaran Sreesanth ,4,KXIP,67.0,6,3,44,5,0,0,0
84,Faiz Fazal ,8,RR,67.0,10,0,1,19,1,6,1
85,Ajit Agarkar ,5,KKR,66.5,7,4,40,4,0,1,0
