pos,name,team_no,team_name,pts,mat,wkts,dots,4s,6s,catches,stumpings
1,Chris Gayle ,9,RCB,409.5,12,8,80,57,44,2,44
2,Lasith Malinga ,6,MI,294.5,16,28,183,0,1,4,1
3,Paul Valthaty ,4,KXIP,282.5,14,7,43,56,20,2,20
4,Yusuf Pathan ,5,KKR,256.5,15,13,93,24,13,5,13
5,Shane Watson ,8,RR,246.0,11,6,78,31,17,4,17
6,Virat Kohli ,9,RCB,241.0,16,2,23,55,16,7,16
7,Ravichandran Ashwin ,1,CSK,237.0,16,20,157,0,0,4,0
8,Jacques Kallis ,5,KKR,237.0,15,7,54,46,6,9,6
9,Suresh Raina ,1,CSK,235.5,16,4,62,36,17,4,17
10,Munaf Patel ,6,MI,229.5,15,22,145,0,0,3,0
11,Yuvraj Singh     ,7,PWI,228.0,14,9,61,24,18,5,18
12,Amit Mishra     ,2,DEC,227.5,14,19,130,9,1,2,1
13,Harbhajan Singh ,6,MI,224.5,15,14,127,9,6,2,6
14,Irfan Pathan ,3,DC,223.5,14,11,124,12,6,4,6
15,Ravindra Jadeja     ,10,KTK,219.5,14,8,90,20,14,1,14
16,Shaun Marsh ,4,KXIP,215.0,14,0,0,52,20,6,20
17,Virender Sehwag ,3,DC,213.0,11,0,0,51,18,9,18
18,Albie Morkel ,1,CSK,212.5,15,15,102,8,8,4,8
19,Dan Christian     ,2,DEC,212.0,14,11,109,9,7,7,7
20,Rahul Sharma     ,7,PWI,211.0,14,16,128,1,2,7,2
21,Zaheer Khan ,9,RCB,205.0,15,14,141,2,0,4,0
22,Sreenath Arvind ,9,RCB,201.0,13,21,115,2,0,3,0
23,Iqbal Abdulla ,5,KKR,197.0,15,16,131,1,0,3,0
24,Adam Gilchrist ,4,KXIP,195.5,14,0,0,41,18,9,18
25,Sachin Tendulkar ,6,MI,195.0,16,0,0,67,5,4,5
26,Ryan Harris ,4,KXIP,194.5,13,16,111,3,0,8,0
27,Dale Steyn     ,2,DEC,193.0,12,14,134,3,0,1,0
28,RP Singh     ,10,KTK,188.0,14,13,135,0,0,3,0
