pos,name,team_no,team_name,pts,mat,wkts,dots,4s,6s,catches,stumpings
173,Mithun Manhas     ,7,PWI,7.5,3,0,0,1,0,2,0
174,Kushal Janith Perera ,8,RR,7.5,2,0,0,3,0,0,0
175,Andrew McDonald ,9,RCB,7.5,1,1,4,0,0,0,0
176,Ankit Sharma ,62,SRH,7.5,1,0,5,0,0,1,0
177,Dimitri Mascarenhas ,4,KXIP,7.0,1,0,7,0,0,0,0
178,Samuel Badree ,8,RR,7.0,1,0,7,0,0,0,0
179,Sarabjit Ladda ,5,KKR,6.5,1,1,3,0,0,0,0
180,Bharat Chipli ,3,DC,6.0,1,0,0,1,1,0,1
181,Naman Ojha ,3,DC,5.0,2,0,0,1,0,1,0
182,Michael Neser ,4,KXIP,5.0,1,0,5,0,0,0,0
183,Mahesh Rawat     ,7,PWI,5.0,2,0,0,0,0,1,0
184,Udit Birla     ,7,PWI,5.0,2,0,0,1,0,1,0
185,Brad Hogg ,8,RR,5.0,1,0,5,0,0,0,0
186,Owais Shah ,8,RR,5.0,2,0,0,2,0,0,0
187,Sachin Baby ,8,RR,5.0,4,0,0,0,0,2,0
188,Pawan Negi ,3,DC,3.0,1,0,3,0,0,0,0
189,Brendon McCullum ,5,KKR,2.5,1,0,0,1,0,0,0
190,Paras Dogra ,5,KKR,2.5,1,0,0,0,0,1,0
191,Abhinav Mukund ,9,RCB,2.5,1,0,0,1,0,0,0
192,Srikkanth Anirudha ,1,CSK,0.0,1,0,0,0,0,0,0
193,Venugopal Rao ,3,DC,0.0,1,0,0,0,0,0,0
194,Paul Valthaty ,4,KXIP,0.0,1,0,0,0,0,0,0
195,Ashok Menaria ,8,RR,0.0,1,0,0,0,0,0,0
196,Karun Nair ,9,RCB,0.0,2,0,0,0,0,0,0
197,Dwaraka Ravi Teja ,62,SRH,0.0,2,0,0,0,0,0,0
198,Thalaivan Sargunam ,62,SRH,0.0,1,0,0,0,0,0,0
