pos,name,team_no,team_name,pts,mat,wkts,dots,4s,6s,catches,stumpings
1,Sunil Narine ,5,KKR,298.0,16,10,133,34,10,4,10
2,David Warner ,62,SRH,273.5,14,0,0,63,26,10,26
3,Ben Stokes     ,434,RPS,270.0,12,12,108,22,15,5,15
4,Jaydev Unadkat     ,434,RPS,225.5,12,24,119,0,0,9,0
5,Glenn Maxwell ,4,KXIP,218.5,14,7,38,19,26,7,26
6,Axar Patel ,4,KXIP,218.0,14,15,82,11,11,7,11
7,Bhuvneshwar Kumar ,62,SRH,218.0,14,26,117,0,0,4,0
8,Robin Uthappa ,5,KKR,201.0,14,0,0,36,21,9,21
9,Jasprit Bumrah ,6,MI,200.5,16,20,122,0,1,2,1
10,Krunal Pandya ,6,MI,198.5,13,10,74,24,7,2,7
11,Rashid Khan ,62,SRH,196.5,14,17,121,0,1,5,1
12,Hardik Pandya ,6,MI,193.5,17,6,45,11,20,12,20
13,Pawan Negi ,9,RCB,193.0,12,16,80,10,7,3,7
14,Gautam Gambhir ,5,KKR,192.0,16,0,0,61,7,6,7
15,Mitchell McClenaghan ,6,MI,191.5,14,19,119,0,1,1,1
16,Umesh Yadav ,5,KKR,186.5,14,17,117,0,0,4,0
17,Chris Morris ,3,DC,184.0,9,12,71,15,6,5,6
18,Suresh Raina     ,433,GL,184.0,14,1,20,42,13,4,13
19,Sandeep Sharma ,4,KXIP,182.0,13,17,115,0,0,3,0
20,Rishabh Pant ,3,DC,181.5,14,0,0,28,24,8,24
21,Shikhar Dhawan ,62,SRH,181.5,14,0,0,53,9,7,9
22,Kieron Pollard ,6,MI,179.5,17,0,0,26,22,15,22
23,Rahul Tripathi     ,434,RPS,179.5,14,0,0,43,17,5,17
24,Chris Woakes ,5,KKR,175.0,13,17,87,4,1,6,1
25,Parthiv Patel ,6,MI,170.5,16,0,0,49,8,6,8
26,Pat Cummins ,3,DC,165.5,12,15,84,5,4,1,4
27,Imran Tahir     ,434,RPS,162.0,12,18,94,0,0,2,0
28,Hashim Amla ,4,KXIP,159.5,10,0,0,40,17,0,17
29,Dan Christian     ,434,RPS,157.5,13,11,74,5,5,6,5
30,Sanju Samson ,3,DC,156.5,14,0,0,32,19,4,19
31,Brendon McCullum     ,433,GL,155.5,11,0,0,29,18,8,18
32,Steve Smith     ,434,RPS,154.5,15,0,0,38,12,7,12
33,Mohit Sharma ,4,KXIP,151.0,14,13,87,3,1,3,1
34,Yuzvendra Chahal ,9,RCB,148.5,13,14,92,0,0,3,0
35,Karn Sharma ,6,MI,147.5,9,13,75,5,2,3,2
36,Aaron Finch     ,433,GL,141.5,13,0,0,25,19,5,19
37,Dwayne Smith     ,433,GL,139.5,12,2,17,32,8,3,8
38,Ajinkya Rahane     ,434,RPS,136.5,16,0,0,35,9,7,9
39,Nathan Coulter-Nile ,5,KKR,134.5,8,15,70,0,2,2,2
40,Lasith Malinga ,6,MI,134.5,12,11,90,0,1,1,1
41,Chris Lynn ,5,KKR,134.0,7,0,0,25,19,2,19
42,Rohit Sharma ,6,MI,134.0,17,0,0,31,9,10,9
43,Dinesh Karthik     ,433,GL,133.5,14,0,0,30,11,8,11
44,Shardul Thakur     ,434,RPS,133.5,12,11,85,0,0,4,0
45,Shreyas Iyer ,3,DC,132.5,12,0,0,36,10,3,10
46,Amit Mishra ,3,DC,132.5,14,10,78,2,2,3,2
47,Harbhajan Singh ,6,MI,132.5,11,8,96,0,1,2,1
48,Manish Pandey ,5,KKR,132.0,14,0,0,28,12,8,12
49,Nitish Rana ,6,MI,129.5,13,0,0,24,17,4,17
50,Siddarth Kaul ,62,SRH,128.5,10,16,65,0,0,3,0
51,Manoj Tiwary     ,434,RPS,128.5,15,0,0,31,11,5,11
52,Moises Henriques ,62,SRH,127.0,12,1,27,28,4,5,4
53,Ravindra Jadeja     ,433,GL,126.0,12,5,57,13,4,2,4
54,MS Dhoni     ,434,RPS,126.0,16,0,0,15,16,10,16
55,Basil Thampi     ,433,GL,125.5,12,11,76,1,1,2,1
56,Ishan Kishan     ,433,GL,125.5,11,0,0,29,13,3,13
57,Karun Nair ,3,DC,123.5,14,0,0,39,6,2,6
58,Kuldeep Yadav ,5,KKR,123.5,12,12,74,2,0,1,0
59,Jos Buttler ,6,MI,122.5,10,0,0,27,15,1,15
60,Kedar Jadhav ,9,RCB,122.5,13,0,0,25,10,7,10
61,Washington Sundar     ,434,RPS,121.5,11,8,81,0,0,5,0
62,Zaheer Khan ,3,DC,117.0,11,10,72,0,0,4,0
