pos,name,team_no,team_name,pts,mat,wkts,dots,4s,6s,catches,stumpings
1,Andre Russell ,5,KKR,369.0,14,11,61,31,52,4,52
2,Hardik Pandya ,6,MI,342.0,16,14,94,28,29,11,29
3,Deepak Chahar ,1,CSK,274.5,17,22,190,1,0,2,0
4,Imran Tahir ,1,CSK,255.0,17,26,149,0,0,6,0
5,Quinton de Kock ,6,MI,247.5,16,0,0,45,25,17,25
6,Rashid Khan ,62,SRH,247.5,15,17,166,2,2,4,2
7,Rishabh Pant ,3,DC,247.0,16,0,0,37,27,18,27
8,Jasprit Bumrah ,6,MI,240.5,16,19,169,0,0,2,0
9,Ravindra Jadeja ,1,CSK,234.5,16,15,128,7,4,9,4
10,Chris Gayle ,4,KXIP,231.5,13,0,0,45,34,0,34
11,KL Rahul ,4,KXIP,227.5,14,0,0,49,25,7,25
12,Bhuvneshwar Kumar ,62,SRH,226.0,15,13,168,1,0,4,0
13,David Warner ,62,SRH,221.0,12,0,0,57,21,2,21
14,Kagiso Rabada ,3,DC,219.0,12,25,113,0,1,6,1
15,Shreyas Gopal ,8,RR,213.0,14,20,107,8,1,5,1
16,Shikhar Dhawan ,3,DC,211.0,16,0,0,64,11,5,11
17,Krunal Pandya ,6,MI,211.0,16,12,94,18,5,5,5
18,Jonny Bairstow ,62,SRH,210.5,10,0,0,48,18,9,18
19,Sunil Narine ,5,KKR,205.0,12,10,96,17,9,0,9
20,Axar Patel ,3,DC,203.0,14,10,110,10,3,9,3
21,Mohammed Shami ,4,KXIP,198.0,14,19,119,0,0,5,0
22,Jofra Archer ,8,RR,191.0,11,11,121,4,4,3,4
23,Shane Watson ,1,CSK,190.0,17,0,0,42,20,6,20
24,Yuzvendra Chahal ,9,RCB,187.5,14,18,117,0,0,3,0
25,Navdeep Saini ,9,RCB,187.0,13,11,141,0,0,3,0
26,Moeen Ali ,9,RCB,186.0,11,6,63,16,17,1,17
27,AB de Villiers ,9,RCB,183.5,13,0,0,31,26,6,26
28,Harbhajan Singh ,1,CSK,183.0,11,16,117,0,0,4,0
29,Rahul Chahar ,6,MI,183.0,13,13,125,2,0,3,0
30,Chris Lynn ,5,KKR,182.0,13,0,0,41,22,1,22
31,Ravichandran Ashwin ,4,KXIP,180.5,14,15,100,3,3,4,3
