pos,name,team_no,team_name,pts,mat,wkts,dots,4s,6s,catches,stumpings
1,Chris Gayle ,9,RCB,331.5,15,0,5,46,59,2,59
2,Dwayne Bravo ,1,CSK,305.0,19,15,110,20,20,9,20
3,Jacques Kallis ,5,KKR,289.5,17,15,112,34,10,2,10
4,Lasith Malinga ,6,MI,257.5,14,22,145,4,3,6,3
5,Sunil Narine ,5,KKR,255.5,15,24,164,2,0,1,0
6,Irfan Pathan ,3,DC,249.0,17,8,145,14,6,8,6
7,Ajinkya Rahane ,8,RR,245.0,16,0,0,73,10,11,10
8,Morne Morkel ,3,DC,244.0,16,25,154,0,0,1,0
9,Shikhar Dhawan     ,2,DEC,243.0,15,3,12,58,18,5,18
10,Kieron Pollard ,6,MI,242.5,14,16,85,15,14,6,14
11,Virender Sehwag ,3,DC,233.5,16,0,7,57,19,7,19
12,Azhar Mahmood ,4,KXIP,229.5,11,14,95,16,8,7,8
13,Gautam Gambhir ,5,KKR,229.5,17,0,0,64,17,4,17
14,Piyush Chawla ,4,KXIP,224.0,16,16,124,9,4,3,4
15,Zaheer Khan ,9,RCB,220.5,16,17,146,1,0,5,0
16,Umesh Yadav ,3,DC,219.0,17,19,145,0,0,3,0
17,Vinay Kumar ,9,RCB,219.0,15,19,123,3,2,6,2
18,Dale Steyn     ,2,DEC,214.5,12,18,138,0,1,4,1
19,Suresh Raina ,1,CSK,212.0,19,2,21,36,19,11,19
20,Praveen Kumar ,4,KXIP,210.5,16,9,168,2,1,1,1
21,Ravichandran Ashwin ,1,CSK,207.5,19,14,141,2,0,5,0
22,Albie Morkel ,1,CSK,202.0,16,13,118,5,6,2,6
23,Shane Watson ,8,RR,202.0,7,6,62,26,14,2,14
24,Harbhajan Singh ,6,MI,198.5,17,6,117,14,3,6,3
25,Rohit Sharma ,6,MI,194.0,17,0,1,39,18,13,18
26,Munaf Patel ,6,MI,188.0,12,15,123,0,0,5,0
27,Rahul Dravid ,8,RR,184.0,16,0,0,63,4,5,4
28,Cameron White     ,2,DEC,181.0,13,0,1,41,20,3,20
29,Mandeep Singh ,4,KXIP,180.0,16,1,7,53,7,5,7
30,Parvinder Awana ,4,KXIP,179.0,12,17,112,0,0,3,0
31,Ravindra Jadeja ,1,CSK,176.0,19,12,65,13,9,2,9
32,David Hussey ,4,KXIP,164.0,16,3,14,28,17,4,17
33,Rajat Bhatia ,5,KKR,153.5,17,13,83,4,0,6,0
34,Robin Uthappa     ,7,PWI,152.5,16,0,0,38,10,6,10
35,Ben Hilfenhaus ,1,CSK,152.0,9,14,103,0,0,0,0
36,Murali Vijay ,1,CSK,147.5,14,0,0,39,10,6,10
37,RP Singh ,6,MI,145.5,11,10,103,0,0,3,0
38,Siddharth Trivedi ,8,RR,145.5,14,13,90,0,0,4,0
39,Brett Lee ,5,KKR,145.0,10,7,99,2,4,1,4
40,Kevin Pietersen ,3,DC,142.5,8,0,10,22,20,3,20
41,Ashish Nehra     ,7,PWI,142.5,13,11,99,1,0,1,0
42,Faf du Plessis ,1,CSK,142.0,13,0,0,29,17,4,17
43,Shaun Marsh ,4,KXIP,142.0,13,0,0,39,7,8,7
44,Brendon McCullum ,5,KKR,140.5,12,0,0,37,3,9,3
45,AB de Villiers ,9,RCB,140.0,16,0,0,26,15,4,15
46,Amit Mishra     ,2,DEC,139.5,14,13,89,1,0,1,0
47,Johan Botha ,8,RR,139.5,11,9,87,4,1,3,1
48,Muttiah Muralitharan ,9,RCB,139.5,10,15,82,0,0,2,0
49,Shakib Al Hasan ,5,KKR,138.0,8,12,68,6,3,1,3
50,Naman Ojha ,3,DC,135.5,18,0,0,21,13,13,13
51,Dan Christian     ,2,DEC,135.0,7,8,51,8,6,6,6
52,Steve Smith     ,7,PWI,134.0,15,0,0,24,14,10,14
53,Virat Kohli ,9,RCB,133.5,16,0,2,33,9,7,9
