pos,name,team_no,team_name,pts,mat,wkts,dots,4s,6s,catches,stumpings
1,Sunil Narine ,5,KKR,379.5,16,17,137,40,23,1,23
2,Shane Watson ,1,CSK,318.0,15,6,57,44,35,3,35
3,Rishabh Pant ,3,DC,314.5,14,0,0,68,37,4,37
4,Lokesh Rahul ,4,KXIP,304.5,14,0,0,66,32,10,32
5,Andre Russell ,5,KKR,292.5,16,13,76,17,31,8,31
6,Rashid Khan ,62,SRH,284.0,17,21,167,3,6,6,6
7,Kane Williamson ,62,SRH,273.0,17,0,0,64,28,6,28
8,Hardik Pandya ,6,MI,269.5,13,18,98,20,11,8,11
9,Ambati Rayudu ,1,CSK,256.5,16,0,0,53,34,2,34
10,Krunal Pandya ,6,MI,239.5,14,12,85,22,10,9,10
11,Shakib Al Hasan ,62,SRH,237.0,17,14,98,26,5,3,5
12,Suryakumar Yadav ,6,MI,228.5,14,0,0,61,16,8,16
13,Jos Buttler ,8,RR,228.5,13,0,0,52,21,9,21
14,Shikhar Dhawan ,62,SRH,226.5,16,0,0,59,14,12,14
15,Dinesh Karthik ,5,KKR,223.5,16,0,0,49,16,14,16
16,Umesh Yadav ,9,RCB,223.0,14,20,148,0,0,2,0
17,Andrew Tye ,4,KXIP,221.0,14,24,116,2,1,5,1
18,AB de Villiers ,9,RCB,217.5,12,0,0,39,30,6,30
19,Dwayne Bravo ,1,CSK,216.5,16,14,90,8,10,9,10
20,Virat Kohli ,9,RCB,213.0,14,0,0,52,18,8,18
21,Chris Lynn ,5,KKR,210.5,16,0,0,56,18,3,18
22,Siddarth Kaul ,62,SRH,209.5,17,21,131,0,0,2,0
23,Krishnappa Gowtham ,8,RR,207.5,15,11,90,9,9,10,9
24,Jasprit Bumrah ,6,MI,205.0,14,17,133,1,0,4,0
25,Trent Boult ,3,DC,203.5,14,18,118,0,0,9,0
26,MS Dhoni ,1,CSK,200.0,16,0,0,24,30,11,30
27,Shardul Thakur ,1,CSK,186.5,13,16,113,3,0,4,0
28,Suresh Raina ,1,CSK,179.5,15,0,0,46,12,9,12
29,Piyush Chawla ,5,KKR,175.0,15,14,110,1,1,4,1
30,Yuzvendra Chahal ,9,RCB,175.0,14,12,128,0,0,2,0
31,Chris Gayle ,4,KXIP,174.5,11,0,0,30,27,2,27
32,Ben Stokes ,8,RR,173.5,13,8,77,13,6,6,6
33,Evin Lewis ,6,MI,171.5,13,0,0,32,24,3,24
34,Deepak Chahar ,1,CSK,171.0,12,10,117,1,4,1,4
35,Kuldeep Yadav ,5,KKR,171.0,16,17,94,1,0,6,0
36,Ravindra Jadeja ,1,CSK,169.5,16,11,82,3,4,11,4
37,Jaydev Unadkat ,8,RR,169.0,15,11,97,6,1,6,1
38,Bhuvneshwar Kumar ,62,SRH,163.0,12,9,124,1,0,2,0
39,Sandeep Sharma ,62,SRH,163.0,12,12,116,0,0,2,0
40,Robin Uthappa ,5,KKR,161.0,16,0,0,30,21,5,21
41,Ravichandran Ashwin ,4,KXIP,159.5,14,10,77,7,5,5,5
42,Shreyas Iyer ,3,DC,158.5,14,0,0,29,21,5,21
43,Mitchell McClenaghan ,6,MI,158.0,11,14,103,1,1,0,1
44,Jofra Archer ,8,RR,158.0,10,15,98,2,0,1,0
45,Sanju Samson ,8,RR,154.0,15,0,0,30,19,5,19
46,Mayank Markande ,6,MI,152.0,14,15,87,2,0,3,0
47,Nitish Rana ,5,KKR,150.0,15,4,17,26,14,2,14
48,Mujeeb Ur Rahman ,4,KXIP,149.5,11,14,93,2,0,1,0
49,Mohammed Siraj ,9,RCB,149.5,11,11,90,2,1,5,1
50,Ishan Kishan ,6,MI,142.0,14,0,0,22,17,9,17
51,Shreyas Gopal ,8,RR,126.5,11,11,68,5,0,3,0
52,Glenn Maxwell ,3,DC,126.0,12,5,32,14,9,4,9
53,Ankit Rajpoot ,4,KXIP,126.0,8,11,80,1,0,2,0
54,Karun Nair ,4,KXIP,125.5,13,0,0,23,13,9,13
55,Ajinkya Rahane ,8,RR,125.0,15,0,0,39,5,4,5
56,Rohit Sharma ,6,MI,124.5,14,0,0,25,12,8,12
57,Lungi Ngidi ,1,CSK,120.0,7,11,79,0,0,1,0
58,Amit Mishra ,3,DC,116.0,10,12,74,0,0,0,0
59,Harbhajan Singh ,1,CSK,113.5,13,7,68,3,1,4,1
60,Prithvi Shaw ,3,DC,112.5,9,0,0,27,10,4,10
61,Yusuf Pathan ,62,SRH,106.5,15,1,2,22,11,3,11
62,Quinton de Kock ,9,RCB,103.0,8,0,0,20,8,7,8
63,Tim Southee ,9,RCB,100.0,8,5,59,5,1,3,1
64,Prasidh Krishna ,5,KKR,97.5,7,10,60,0,0,1,0
65,Manish Pandey ,62,SRH,95.0,15,0,0,22,5,9,5
66,Vijay Shankar ,3,DC,92.5,13,1,8,11,11,6,11
67,Shivam Mavi ,5,KKR,91.5,9,5,64,1,0,3,0
68,Ben Cutting ,6,MI,89.0,9,2,24,5,8,7,8
69,Mustafizur Rahman ,6,MI,88.5,7,7,59,0,0,2,0
70,Mandeep Singh ,9,RCB,88.5,14,0,0,16,11,4,11
71,Colin de Grandhomme ,9,RCB,85.5,9,2,26,4,10,3,10
72,Harshal Patel ,3,DC,84.0,5,7,36,1,6,0,6
73,Chris Woakes ,9,RCB,83.5,5,8,47,1,1,1,1
74,Rahul Tewatia ,3,DC,83.0,8,6,41,5,1,2,1
75,Rahul Tripathi ,8,RR,83.0,12,0,0,18,8,4,8
76,Mohit Sharma ,4,KXIP,82.0,9,7,50,1,0,2,0
77,Shubman Gill ,5,KKR,80.0,13,0,0,22,5,3,5
78,Axar Patel ,4,KXIP,78.0,9,3,41,3,4,2,4
79,Carlos Brathwaite ,62,SRH,76.0,4,5,23,1,8,2,8
80,Moeen Ali ,9,RCB,73.5,5,3,27,4,6,2,6
81,Parthiv Patel ,9,RCB,71.5,6,0,0,20,4,3,4
82,Dhawal Kulkarni ,8,RR,70.5,8,4,54,0,0,1,0
83,Washington Sundar ,9,RCB,69.5,7,4,29,5,4,0,4
84,Ish Sodhi ,8,RR,68.5,6,5,51,0,0,0,0
85,Ben Laughlin ,8,RR,68.0,7,9,34,0,0,1,0
86,Billy Stanlake ,62,SRH,67.0,4,5,47,1,0,0,0
87,Faf du Plessis ,1,CSK,66.0,6,0,0,17,6,1,6
88,Imran Tahir ,1,CSK,66.0,6,6,40,0,0,2,0
89,Barinder Sran ,4,KXIP,66.0,6,4,47,0,0,2,0
90,Avesh Khan ,3,DC,65.5,6,4,44,0,0,3,0
91,Brendon McCullum ,9,RCB,63.5,6,0,0,16,6,1,6
92,Mitchell Johnson ,5,KKR,63.0,6,2,46,2,0,2,0
93,D'Arcy Short ,8,RR,61.5,7,1,8,11,5,2,5
94,Chris Morris ,3,DC,61.0,4,3,31,3,2,2,2
95,Liam Plunkett ,3,DC,61.0,7,4,42,0,0,2,0
96,Wriddhiman Saha ,62,SRH,61.0,11,0,0,17,1,5,1
97,Marcus Stoinis ,4,KXIP,59.5,7,3,15,6,4,2,4
98,Kieron Pollard ,6,MI,59.5,9,0,0,10,7,4,7
99,Alex Hales ,62,SRH,58.5,6,0,0,13,6,2,6
100,Jason Roy ,3,DC,57.0,5,0,0,9,7,4,7
101,Aaron Finch ,4,KXIP,53.0,10,0,0,6,8,4,8
102,Sam Billings ,1,CSK,50.0,10,0,0,8,5,5,5
103,Sandeep Lamichhane ,3,DC,47.5,3,5,30,0,0,0,0
104,Mohammed Shami ,3,DC,46.0,4,3,28,1,0,2,0
105,Tom Curran ,5,KKR,46.0,5,6,15,3,0,1,0
106,Mayank Agarwal ,4,KXIP,45.0,11,0,0,9,5,2,5
107,Dan Christian ,3,DC,39.5,4,4,22,0,1,0,1
108,Basil Thampi ,62,SRH,39.5,4,5,17,0,0,2,0
109,Karn Sharma ,1,CSK,37.5,6,4,16,0,0,3,0
