pos,name,team_no,team_name,pts,mat,wkts,dots,4s,6s,catches,stumpings
1,Glenn Maxwell ,4,KXIP,286.0,16,1,14,48,36,9,36
2,Dwayne Smith ,1,CSK,285.5,16,4,15,50,34,5,34
3,Robin Uthappa ,5,KKR,268.0,16,0,0,74,18,1,18
4,Suresh Raina ,1,CSK,259.0,16,1,34,51,19,11,19
5,Axar Patel ,4,KXIP,252.5,17,17,157,6,1,7,1
6,Shakib Al Hasan ,5,KKR,238.5,13,11,113,22,7,3,7
7,Sunil Narine ,5,KKR,235.5,16,21,157,0,0,2,0
8,Bhuvneshwar Kumar ,62,SRH,227.0,14,20,152,0,0,2,0
9,Mitchell Johnson ,4,KXIP,225.0,14,17,135,4,3,4,3
10,Mitchell Starc ,9,RCB,221.0,14,14,127,9,0,9,0
11,Ravindra Jadeja ,1,CSK,218.5,16,19,102,9,5,4,5
12,Virender Sehwag ,4,KXIP,215.5,17,0,0,56,18,5,18
13,Yuvraj Singh ,9,RCB,213.5,14,5,33,22,28,4,28
14,Harbhajan Singh ,6,MI,206.5,14,14,138,2,2,3,2
15,Mohit Sharma ,1,CSK,206.0,16,23,118,0,0,3,0
16,Morne Morkel ,5,KKR,205.0,12,12,148,0,0,6,0
17,Dale Steyn ,62,SRH,203.5,14,11,145,1,0,7,0
18,David Warner ,62,SRH,201.5,14,0,0,39,24,8,24
19,JP Duminy ,3,DC,200.5,14,3,60,22,20,2,20
20,Ravichandran Ashwin ,1,CSK,198.5,16,16,130,4,0,1,0
21,David Miller ,4,KXIP,193.5,16,0,0,34,21,14,21
22,James Faulkner ,8,RR,191.5,13,11,72,8,16,2,16
23,Shane Watson ,8,RR,185.5,13,7,57,19,14,3,14
24,Karn Sharma ,62,SRH,179.5,14,15,114,1,3,0,3
25,Wriddhiman Saha ,4,KXIP,175.5,17,0,0,33,18,8,18
26,Sandeep Sharma ,4,KXIP,174.5,11,18,109,0,0,1,0
27,Lendl Simmons ,6,MI,167.0,8,1,2,43,14,2,14
28,Corey Anderson ,6,MI,166.5,12,4,35,21,15,5,15
29,AB de Villiers ,9,RCB,166.5,14,0,0,26,24,7,24
30,Yuzvendra Chahal ,9,RCB,164.5,14,12,115,0,0,3,0
31,Brendon McCullum ,1,CSK,161.5,14,0,0,32,19,6,19
32,Rishi Dhawan ,4,KXIP,161.5,13,13,85,8,1,3,1
33,Shikhar Dhawan ,62,SRH,159.5,14,0,0,49,7,5,7
34,Lasith Malinga ,6,MI,155.0,10,16,99,0,0,0,0
35,Varun Aaron ,9,RCB,154.5,10,16,90,2,1,0,1
36,Rohit Sharma ,6,MI,153.5,15,1,4,31,16,5,16
37,Piyush Chawla ,5,KKR,149.0,11,14,79,4,1,3,1
38,Kieron Pollard ,6,MI,147.5,15,2,33,15,15,7,15
39,Pravin Tambe ,8,RR,146.5,13,15,89,0,0,2,0
40,Ishwar Pandey ,1,CSK,143.0,13,6,112,0,0,4,0
41,Sanju Samson ,8,RR,139.5,13,0,0,25,17,5,17
42,Umesh Yadav ,5,KKR,138.5,12,11,95,0,0,2,0
43,Karun Nair ,8,RR,136.5,11,0,0,38,9,4,9
44,MS Dhoni ,1,CSK,135.0,16,0,0,22,20,3,20
45,Dinesh Karthik ,3,DC,131.0,14,0,0,28,11,7,11
46,Manan Vohra ,4,KXIP,131.0,8,0,0,27,16,3,16
47,Rajat Bhatia ,8,RR,131.0,12,12,56,4,3,5,3
48,Virat Kohli ,9,RCB,131.0,14,0,0,23,16,7,16
49,Manish Pandey ,5,KKR,130.0,16,0,0,35,10,3,10
50,Mohammed Shami ,3,DC,126.5,12,7,102,0,0,0,0
51,Aaron Finch ,62,SRH,124.0,13,0,0,31,9,6,9
52,Faf du Plessis ,1,CSK,122.0,15,0,0,26,7,13,7
53,Yusuf Pathan ,5,KKR,121.0,15,0,1,15,20,5,20
54,Ambati Rayudu ,6,MI,120.5,15,0,0,31,8,6,8
55,Ajinkya Rahane ,8,RR,120.5,13,0,0,38,3,6,3
56,Kevin Pietersen ,3,DC,114.5,11,0,0,34,7,2,7
57,Lakshmipathy Balaji ,4,KXIP,114.0,9,12,72,0,0,0,0
58,Naman Ojha ,62,SRH,112.0,11,0,0,14,17,6,17
59,Gautam Gambhir ,5,KKR,111.5,16,0,0,36,4,3,4
60,Jasprit Bumrah ,6,MI,109.5,11,5,92,0,0,0,0
61,Parthiv Patel ,9,RCB,108.5,12,0,0,30,1,11,1
62,Wayne Parnell ,3,DC,108.0,8,6,82,0,0,2,0
63,Dhawal Kulkarni ,8,RR,105.5,8,6,70,1,2,2,2
64,Jacques Kallis ,5,KKR,104.5,8,4,39,13,4,2,4
65,George Bailey ,4,KXIP,102.5,17,0,0,19,10,8,10
66,Kane Richardson ,8,RR,101.0,7,9,62,0,0,3,0
67,Ben Hilfenhaus ,1,CSK,100.5,8,8,70,0,0,1,0
68,Shahbaz Nadeem ,3,DC,94.0,11,8,66,0,0,0,0
69,Chris Gayle ,9,RCB,92.0,9,0,0,18,12,2,12
70,Jaydev Unadkat ,3,DC,90.5,9,9,59,0,0,0,0
71,Amit Mishra ,62,SRH,90.5,10,7,66,0,0,0,0
72,Murali Vijay ,3,DC,89.5,11,0,2,20,5,8,5
73,Karanveer Singh ,4,KXIP,83.0,5,11,42,0,0,1,0
74,Vinay Kumar ,5,KKR,83.0,9,7,56,0,0,1,0
75,Ashok Dinda ,9,RCB,81.5,9,5,64,0,0,0,0
76,Darren Sammy ,62,SRH,81.0,10,3,20,4,8,5,8
77,Suryakumar Yadav ,5,KKR,77.0,16,0,2,16,5,7,5
78,Zaheer Khan ,6,MI,77.0,6,5,56,0,1,0,1
79,Imran Tahir ,3,DC,74.5,6,9,38,2,0,0,0
80,Michael Hussey ,6,MI,74.5,9,0,0,17,7,3,7
81,Parvinder Awana ,4,KXIP,72.5,7,7,48,0,0,0,0
82,Irfan Pathan ,62,SRH,72.5,10,4,41,5,0,2,0
83,Albie Morkel ,9,RCB,72.0,7,4,40,1,3,2,3
84,Steve Smith ,8,RR,69.0,10,0,0,13,4,9,4
85,Kevon Cooper ,8,RR,68.5,5,4,34,2,3,2,3
86,Quinton de Kock ,3,DC,66.5,7,0,0,19,4,2,4
87,CM Gautam ,6,MI,65.0,9,0,0,13,5,3,5
88,Kedar Jadhav ,3,DC,64.5,10,0,0,13,7,3,7
89,Stuart Binny ,8,RR,63.5,13,3,18,4,5,3,5
90,Ashish Nehra ,1,CSK,58.0,4,8,30,0,0,0,0
91,Aditya Tare ,6,MI,58.0,15,0,0,16,3,0,3
92,Shreyas Gopal ,6,MI,56.0,4,6,30,1,0,1,0
93,David Hussey ,1,CSK,55.5,5,2,5,8,6,1,6
94,Manoj Tiwary ,3,DC,54.5,8,0,3,14,4,1,4
95,Yogesh Takawale ,9,RCB,53.5,5,0,0,17,1,2,1
96,Lokesh Rahul ,62,SRH,50.5,11,0,0,12,3,4,3
97,Shivam Sharma ,4,KXIP,49.5,4,3,34,1,0,1,0
98,Ankit Sharma ,8,RR,49.5,3,4,22,4,1,0,1
99,Samuel Badree ,1,CSK,47.0,4,2,40,0,0,0,0
100,Muttiah Muralitharan ,9,RCB,46.5,5,3,36,0,0,0,0
101,Ryan ten Doeschate ,5,KKR,45.5,10,1,13,3,4,3,4
102,Praveen Kumar ,6,MI,43.5,3,3,33,0,0,0,0
103,Mayank Agarwal ,3,DC,43.0,8,0,0,12,3,1,3
104,Cheteshwar Pujara ,4,KXIP,42.5,6,0,0,17,0,0,0
105,Harshal Patel ,9,RCB,42.0,3,4,22,1,1,0,1
106,Beuran Hendricks ,4,KXIP,41.5,3,4,25,0,0,1,0
107,Moises Henriques ,62,SRH,39.0,4,4,20,1,0,1,0
108,Abu Nechim ,9,RCB,38.0,4,3,25,1,0,0,0
109,Laxmi Ratan Shukla ,3,DC,36.5,5,1,22,2,1,1,1
110,Ishant Sharma ,62,SRH,36.5,3,3,26,0,0,0,0
111,Brad Hodge ,8,RR,36.0,4,0,0,4,6,2,6
