pos,name,team_no,team_name,pts,mat,wkts,dots,4s,6s,catches,stumpings
1,Shane Watson ,8,RR,406.5,15,17,158,47,19,2,19
2,Sanath Jayasuriya ,6,MI,308.5,14,4,36,58,31,2,31
3,Yusuf Pathan ,8,RR,290.5,16,8,60,43,25,3,25
4,Albie Morkel ,1,CSK,261.0,13,17,100,18,14,3,14
5,Irfan Pathan ,4,KXIP,259.0,14,15,153,9,6,4,6
6,Shaun Marsh ,4,KXIP,246.0,11,0,0,59,26,3,26
7,Manpreet Gony ,1,CSK,236.0,16,17,156,2,3,2,3
8,Shaun Pollock ,6,MI,232.5,13,11,131,12,8,2,8
9,Virender Sehwag ,3,DC,224.5,14,3,18,46,21,3,21
10,Piyush Chawla ,4,KXIP,222.0,15,17,112,10,3,6,3
11,Sohail Tanvir ,8,RR,220.0,11,22,122,3,1,4,1
12,Sourav Ganguly ,5,KKR,214.5,13,6,46,33,15,5,15
13,Shane Warne ,8,RR,214.0,15,19,108,7,2,6,2
14,Adam Gilchrist     ,2,DEC,211.5,14,0,0,51,19,6,19
15,Shanthakumaran Sreesanth ,4,KXIP,204.5,15,19,133,0,0,2,0
16,Glenn McGrath ,3,DC,203.5,14,12,154,1,0,2,0
17,Gautam Gambhir ,3,DC,203.0,14,0,0,68,8,2,8
18,Praveen Kumar ,9,RCB,198.5,13,11,109,10,6,2,6
19,RP Singh     ,2,DEC,195.5,14,15,122,2,1,5,1
20,Munaf Patel ,8,RR,195.0,15,14,141,0,0,2,0
21,MF Maharoof ,3,DC,193.5,10,15,84,10,7,3,7
22,Rohit Sharma     ,2,DEC,191.0,13,1,6,38,19,8,19
23,Suresh Raina ,1,CSK,183.0,16,1,4,35,18,10,18
24,Ashish Nehra ,6,MI,183.0,14,12,121,0,0,8,0
25,James Hopes ,4,KXIP,181.5,11,7,54,27,8,3,8
26,Dwayne Bravo ,6,MI,179.5,9,11,66,19,5,4,5
27,Muttiah Muralitharan ,1,CSK,175.5,15,11,127,0,0,4,0
28,Yuvraj Singh ,4,KXIP,171.0,15,3,14,24,19,8,19
29,Graeme Smith ,8,RR,168.0,11,0,0,54,8,2,8
30,Siddharth Trivedi ,8,RR,164.5,15,13,104,0,0,6,0
31,MS Dhoni ,1,CSK,162.5,16,0,0,38,15,6,15
32,Yo Mahesh ,3,DC,162.5,11,16,94,0,0,5,0
33,Dale Steyn ,9,RCB,161.0,10,10,116,0,0,4,0
34,Zaheer Khan ,9,RCB,158.0,11,13,100,4,0,1,0
35,David Hussey ,5,KKR,150.5,13,2,24,19,17,5,17
36,Ishant Sharma ,5,KKR,149.5,13,8,114,1,0,2,0
37,Jacques Kallis ,9,RCB,148.0,11,4,55,23,4,3,4
38,Swapnil Asnodkar ,8,RR,143.5,9,0,0,43,6,6,6
39,Ashok Dinda ,5,KKR,142.5,13,8,112,0,0,1,0
40,Kumar Sangakkara ,4,KXIP,140.5,10,0,0,41,8,4,8
41,Robin Uthappa ,6,MI,139.0,14,0,0,34,9,9,9
42,Shahid Afridi     ,2,DEC,137.0,10,9,57,7,6,4,6
43,Venugopal Rao     ,2,DEC,136.5,11,2,22,22,15,0,15
44,Vikram Singh ,4,KXIP,136.0,13,11,95,1,0,0,0
45,Shikhar Dhawan ,3,DC,135.5,14,0,0,35,8,8,8
46,Makhaya Ntini ,1,CSK,131.0,9,7,99,2,0,1,0
47,Rahul Dravid ,9,RCB,131.0,14,0,0,35,11,2,11
48,Parthiv Patel ,1,CSK,130.5,13,0,0,42,3,6,3
49,Anil Kumble ,9,RCB,122.0,10,7,85,1,0,4,0
50,Dhawal Kulkarni ,6,MI,120.5,10,11,77,0,0,2,0
51,Pragyan Ojha     ,2,DEC,117.0,13,11,71,0,0,3,0
52,Ajit Agarkar ,5,KKR,116.0,9,8,66,5,2,1,2
53,Umar Gul ,5,KKR,113.0,6,12,51,1,5,0,5
54,Laxmi Ratan Shukla ,5,KKR,104.0,13,6,18,17,5,2,5
55,Scott Styris     ,2,DEC,103.5,8,3,61,9,2,1,2
56,Lakshmipathy Balaji ,1,CSK,101.0,9,11,60,0,0,1,0
57,Abhishek Nayar ,6,MI,99.0,14,1,14,16,9,4,9
58,Vinay Kumar ,9,RCB,95.0,8,5,59,2,1,4,1
59,Mohammad Asif ,3,DC,94.5,8,8,64,0,0,1,0
60,Subramaniam Badrinath ,1,CSK,93.0,16,0,0,21,8,5,8
61,Amit Mishra ,3,DC,92.0,6,11,41,3,0,2,0
62,Dilhara Fernando ,6,MI,91.0,5,10,51,0,0,2,0
63,Mark Boucher ,9,RCB,91.0,10,0,0,24,6,3,6
64,Brendon McCullum ,5,KKR,87.5,4,0,0,13,15,1,15
65,Joginder Sharma ,1,CSK,87.0,8,8,43,1,1,4,1
66,Sanjay Bangar     ,2,DEC,87.0,11,4,55,1,3,2,3
67,Salman Butt ,5,KKR,87.0,7,0,0,30,2,2,2
68,Sachin Tendulkar ,6,MI,87.0,7,0,0,26,2,6,2
69,Andrew Symonds     ,2,DEC,85.5,4,0,9,15,9,3,9
70,Rajat Bhatia ,3,DC,83.5,9,6,48,2,2,1,2
71,Stephen Fleming ,1,CSK,83.0,10,0,0,27,3,2,3
72,Herschelle Gibbs     ,2,DEC,83.0,9,0,0,17,8,5,8
73,Kamran Akmal ,8,RR,83.0,6,0,0,13,8,5,8
74,Matthew Hayden ,1,CSK,81.0,4,0,0,24,6,0,6
75,Wriddhiman Saha ,5,KKR,79.5,12,0,0,12,7,8,7
76,Virat Kohli ,9,RCB,78.0,13,2,7,18,4,2,4
77,Paidikalva Vijaykumar     ,2,DEC,77.0,9,4,63,0,0,0,0
