pos,name,team_no,team_name,pts,mat,wkts,dots,4s,6s,catches,stumpings
1,Jofra Archer ,8,RR,305.0,14,20,175,5,10,5,10
2,Kagiso Rabada ,3,DC,298.0,17,30,156,4,2,8,2
3,Jasprit Bumrah ,6,MI,269.5,15,27,175,0,0,0,0
4,Rashid Khan ,62,SRH,260.0,16,20,168,3,2,3,2
5,Trent Boult ,6,MI,254.5,15,25,157,0,0,4,0
6,KL Rahul ,4,KXIP,250.5,14,0,0,58,23,10,23
7,Anrich Nortje ,3,DC,247.0,16,22,160,0,0,4,0
8,Quinton de Kock ,6,MI,247.0,16,0,0,46,22,18,22
9,Rahul Tewatia ,8,RR,244.5,14,10,95,13,17,9,17
10,Pat Cummins ,5,KKR,240.0,14,12,140,9,8,3,8
11,Marcus Stoinis ,3,DC,236.5,17,13,50,31,16,3,16
12,Sam Curran ,1,CSK,226.0,14,13,91,12,12,7,12
13,Shikhar Dhawan ,3,DC,222.0,17,0,0,67,12,5,12
14,Mohammad Shami ,4,KXIP,215.0,14,20,140,0,0,2,0
15,Suryakumar Yadav ,6,MI,211.0,16,0,0,61,11,8,11
16,David Warner ,62,SRH,209.0,16,0,0,52,14,12,14
17,T Natarajan ,62,SRH,199.5,16,16,136,0,0,3,0
18,Ishan Kishan ,6,MI,197.5,14,0,0,36,30,1,30
19,Yuzvendra Chahal ,9,RCB,194.0,15,21,118,0,0,1,0
20,AB de Villiers ,9,RCB,190.5,15,0,0,33,23,10,23
21,Axar Patel ,3,DC,189.5,15,9,100,6,8,6,8
22,Faf du Plessis ,1,CSK,184.0,13,0,0,42,14,12,14
23,Ravindra Jadeja ,1,CSK,183.0,14,6,56,22,11,5,11
24,Kieron Pollard ,6,MI,181.5,16,4,33,15,22,8,22
25,Varun Chakravarthy ,5,KKR,178.0,13,17,111,0,0,3,0
26,Mayank Agarwal ,4,KXIP,177.5,11,0,0,44,15,6,15
27,Devdutt Padikkal ,9,RCB,175.5,15,0,0,51,8,8,8
28,Washington Sundar ,9,RCB,174.0,15,8,114,10,2,0,2
29,Ravi Bishnoi ,4,KXIP,171.5,14,12,122,1,0,2,0
30,Eoin Morgan ,5,KKR,171.5,14,0,0,32,24,3,24
31,Shreyas Iyer ,3,DC,171.0,17,0,0,40,16,6,16
32,Krunal Pandya ,6,MI,171.0,16,6,100,9,5,4,5
33,Sanju Samson ,8,RR,171.0,14,0,0,21,26,9,26
34,Sandeep Sharma ,62,SRH,170.5,13,14,119,1,0,0,0
35,Manish Pandey ,62,SRH,168.0,16,0,0,35,18,7,18
36,Deepak Chahar ,1,CSK,167.5,14,12,118,0,0,3,0
37,Rahul Chahar ,6,MI,166.5,15,15,104,0,0,4,0
38,Ravichandran Ashwin ,3,DC,162.5,15,13,101,3,1,2,1
