pos,name,team_no,team_name,pts,mat,wkts,dots,4s,6s,catches,stumpings
32,Ravichandran Ashwin ,1,CSK,175.0,14,10,114,6,1,3,1
33,James Faulkner ,8,RR,173.5,13,8,88,12,5,4,5
34,Harshal Patel ,9,RCB,172.0,15,17,103,0,2,1,2
35,Anureet Singh ,4,KXIP,171.0,14,15,105,0,1,4,1
36,Parthiv Patel ,6,MI,160.0,14,0,0,47,5,7,5
37,Robin Uthappa ,5,KKR,159.5,13,0,0,42,7,7,7
38,Umesh Yadav ,5,KKR,155.5,12,10,92,5,1,5,1
39,MS Dhoni ,1,CSK,154.5,17,0,0,27,17,8,17
40,Dhawal Kulkarni ,8,RR,153.0,11,13,95,0,0,5,0
41,Angelo Mathews ,3,DC,149.0,11,7,61,12,6,5,6
42,Shikhar Dhawan ,62,SRH,148.5,14,0,0,45,6,6,6
43,David Miller ,4,KXIP,143.5,13,0,0,21,21,7,21
44,Jagadeesha Suchith ,6,MI,142.0,13,10,70,4,2,8,2
45,Yusuf Pathan ,5,KKR,141.0,13,2,12,29,12,3,12
46,Karn Sharma ,62,SRH,138.5,14,10,65,3,6,4,6
47,Ishwar Pandey ,1,CSK,136.5,10,11,93,0,0,2,0
48,Vinay Kumar ,6,MI,132.5,13,7,93,0,0,6,0
49,Faf du Plessis ,1,CSK,130.0,17,0,0,37,5,8,5
50,Piyush Chawla ,5,KKR,128.0,13,11,65,5,2,2,2
51,Mitchell Johnson ,4,KXIP,127.5,9,9,90,1,1,0,1
52,Pawan Negi ,1,CSK,126.5,10,6,53,10,5,4,5
53,Imran Tahir ,3,DC,124.0,10,15,64,0,0,3,0
54,Gautam Gambhir ,5,KKR,124.0,13,0,0,41,4,3,4
55,Ambati Rayudu ,6,MI,123.5,15,0,0,18,16,9,16
56,Morne Morkel ,5,KKR,113.5,7,10,76,0,0,1,0
57,Yuvraj Singh ,3,DC,112.0,14,1,11,23,10,2,10
58,Amit Mishra ,3,DC,111.5,12,9,75,0,0,2,0
59,Steve Smith ,8,RR,110.5,14,0,0,33,3,7,3
60,Wriddhiman Saha ,4,KXIP,110.0,14,0,0,16,10,11,10
61,Murali Vijay ,4,KXIP,109.5,11,0,4,27,8,4,8
62,Trent Boult ,62,SRH,107.5,7,9,71,0,0,2,0
63,Praveen Kumar ,62,SRH,105.5,12,7,71,1,0,3,0
64,Stuart Binny ,8,RR,103.5,13,4,56,7,1,5,1
65,Sunil Narine ,5,KKR,101.0,8,7,74,0,0,1,0
66,Tim Southee ,8,RR,99.5,7,6,66,1,0,4,0
67,Ravi Bopara ,62,SRH,99.0,9,6,37,6,6,2,6
68,Hardik Pandya ,6,MI,98.0,9,1,29,9,8,6,8
69,Zaheer Khan ,3,DC,97.5,7,7,73,0,0,0,0
70,Dinesh Karthik ,9,RCB,96.5,16,0,0,15,4,14,4
71,Pravin Tambe ,8,RR,96.0,10,7,69,0,0,1,0
72,Manish Pandey ,5,KKR,92.0,13,0,0,22,7,5,7
73,Glenn Maxwell ,4,KXIP,91.5,11,2,19,13,8,2,8
74,Sanju Samson ,8,RR,90.5,14,0,0,16,8,9,8
75,Mayank Agarwal ,3,DC,89.5,10,0,0,23,7,3,7
76,Kedar Jadhav ,3,DC,84.5,14,0,0,16,7,6,7
77,Deepak Hooda ,8,RR,84.5,14,1,25,6,11,1,11
78,George Bailey ,4,KXIP,82.0,13,0,0,22,7,1,7
79,Brad Hogg ,5,KKR,81.5,6,9,50,0,0,0,0
80,Mandeep Singh ,9,RCB,81.0,14,0,0,17,6,7,6
81,Eoin Morgan ,62,SRH,78.5,9,0,0,11,11,5,11
82,Sreenath Arvind ,9,RCB,77.5,5,8,47,0,0,1,0
83,Suryakumar Yadav ,5,KKR,75.5,13,0,0,12,8,7,8
84,Iqbal Abdulla ,9,RCB,72.5,5,4,46,4,0,1,0
85,Karun Nair ,8,RR,70.0,14,0,0,18,5,3,5
86,Albie Morkel ,3,DC,64.5,4,3,22,9,2,1,2
87,Corey Anderson ,6,MI,64.5,4,1,10,11,6,1,6
88,Naman Ojha ,62,SRH,61.5,14,0,0,12,4,6,4
89,Dale Steyn ,62,SRH,61.0,6,3,38,3,0,2,0
90,Shakib Al Hasan ,5,KKR,60.5,4,4,34,5,0,0,0
91,Varun Aaron ,9,RCB,60.5,6,3,44,0,1,1,1
92,Quinton de Kock ,3,DC,59.0,3,0,0,18,4,0,4
93,Domnic Joseph ,3,DC,58.0,6,4,44,0,0,0,0
94,Saurabh Tiwary ,3,DC,52.5,7,0,0,9,5,5,5
95,Beuran Hendricks ,4,KXIP,49.5,4,5,27,0,0,2,0
96,Johan Botha ,5,KKR,48.5,4,1,19,5,1,4,1
97,Unmukt Chand ,6,MI,47.0,6,0,0,13,2,3,2
98,Ankit Sharma ,8,RR,47.0,4,3,29,1,0,2,0
99,Ashish Reddy ,62,SRH,47.0,6,3,9,3,5,1,5
100,Gurkeerat Mann Singh ,4,KXIP,43.0,5,3,19,3,1,1,1
101,Virender Sehwag ,4,KXIP,40.5,8,0,0,12,3,0,3
102,Lokesh Rahul ,62,SRH,40.0,9,0,0,8,5,1,5
103,Sarfaraz Khan ,9,RCB,37.0,13,0,0,12,2,0,2
104,Rishi Dhawan ,4,KXIP,35.5,5,1,20,2,2,0,2
105,Jasprit Bumrah ,6,MI,34.5,4,3,24,0,0,0,0
106,Abu Nechim ,9,RCB,34.5,3,1,26,2,0,0,0
107,Ishant Sharma ,62,SRH,33.5,4,1,30,0,0,0,0
108,Manan Vohra ,4,KXIP,32.5,7,0,0,4,5,2,5
109,Jayant Yadav ,3,DC,30.5,3,2,21,0,0,1,0
110,Karanveer Singh ,4,KXIP,30.5,4,1,22,1,0,1,0
111,Manoj Tiwary ,3,DC,28.5,5,0,0,8,1,2,1
112,Shahbaz Nadeem ,3,DC,28.5,4,0,21,0,0,3,0
113,Shaun Marsh ,4,KXIP,28.0,4,0,0,7,3,0,3
114,Pat Cummins ,5,KKR,28.0,3,1,22,0,0,1,0
115,Bipul Sharma ,62,SRH,27.5,4,3,17,0,0,0,0
116,Ryan ten Doeschate ,5,KKR,26.0,6,0,3,4,3,1,3
117,Michael Hussey ,1,CSK,25.5,4,0,0,5,3,1,3
118,Manvinder Bisla ,9,RCB,21.0,2,0,0,6,1,1,1
119,Hanuma Vihari ,62,SRH,20.0,5,0,0,6,0,2,0
120,Pawan Suyal ,6,MI,19.0,3,0,19,0,0,0,0
121,Thisara Perera ,4,KXIP,16.0,2,1,9,0,1,0,1
122,Parveez Rasool ,62,SRH,15.5,2,1,12,0,0,0,0
123,Marchant de Lange ,6,MI,15.0,1,0,15,0,0,0,0
124,Gurinder Sandhu ,3,DC,12.5,3,1,9,0,0,0,0
125,Sean Abbott ,9,RCB,12.0,2,0,6,1,1,0,1
126,Shardul Thakur ,4,KXIP,11.0,1,1,5,1,0,0,0
127,Rilee Rossouw ,9,RCB,11.0,2,0,0,1,1,2,1
128,Kane Williamson ,62,SRH,11.0,2,0,0,1,1,2,1
129,Ronit More ,1,CSK,10.0,2,1,4,0,0,1,0
130,Aaron Finch ,6,MI,10.0,3,0,0,4,0,0,0
131,Rahul Tewatia ,8,RR,9.5,1,1,6,0,0,0,0
132,Azhar Mahmood ,5,KKR,7.5,1,0,5,1,0,0,0
133,Juan Theron ,8,RR,7.5,1,1,4,0,0,0,0
134,Jaydev Unadkat ,3,DC,7.0,1,0,7,0,0,0,0
135,Rajat Bhatia ,8,RR,7.0,2,0,7,0,0,0,0
136,Shivam Sharma ,4,KXIP,6.5,1,1,3,0,0,0,0
137,KC Cariappa ,5,KKR,6.5,1,1,3,0,0,0,0
138,Ashok Dinda ,9,RCB,6.5,2,0,4,0,0,1,0
139,Shreyas Gopal ,6,MI,5.5,1,1,2,0,0,0,0
140,Aditya Tare ,6,MI,5.0,2,0,0,1,0,1,0
141,Barinder Sran ,8,RR,5.0,1,0,5,0,0,0,0
142,Darren Sammy ,9,RCB,4.5,2,0,2,0,0,1,0
143,CM Gautam ,3,DC,2.5,1,0,0,0,0,0,0
144,Nic Maddinson ,9,RCB,2.5,1,0,0,1,0,0,0
145,Pragyan Ojha ,6,MI,1.0,1,0,1,0,0,0,0
