pos,name,team_no,team_name,pts,mat,wkts,dots,4s,6s,catches,stumpings
1,Andre Russell ,5,KKR,312.0,13,14,94,35,19,6,19
2,Dwayne Bravo ,1,CSK,284.0,17,26,88,22,5,13,5
3,David Warner ,62,SRH,256.0,14,0,0,65,21,8,21
4,Ashish Nehra ,1,CSK,254.5,16,22,170,0,0,3,0
5,AB de Villiers ,9,RCB,247.0,16,0,0,60,22,8,22
6,Harbhajan Singh ,6,MI,241.5,15,18,117,9,9,3,9
7,Chris Gayle ,9,RCB,236.0,14,0,3,39,38,1,38
8,Lasith Malinga ,6,MI,231.5,15,24,140,1,0,2,0
9,Lendl Simmons ,6,MI,228.5,13,0,0,56,21,6,21
10,Shane Watson ,8,RR,227.0,10,6,62,37,14,1,14
11,JP Duminy ,3,DC,218.5,14,8,33,27,20,8,20
12,Dwayne Smith ,1,CSK,216.0,16,1,4,52,16,9,16
13,Kieron Pollard ,6,MI,215.0,16,3,14,28,28,9,28
14,Brendon McCullum ,1,CSK,213.0,14,0,0,51,23,2,23
15,Bhuvneshwar Kumar ,62,SRH,210.0,14,18,126,2,1,5,1
16,Axar Patel ,4,KXIP,206.5,14,13,83,13,8,7,8
17,Sandeep Sharma ,4,KXIP,195.0,14,13,142,1,0,2,0
18,Mitchell Starc ,9,RCB,195.0,13,20,105,1,0,7,0
19,Mohit Sharma ,1,CSK,192.0,16,14,121,1,2,5,2
20,Suresh Raina ,1,CSK,192.0,17,2,24,31,16,11,16
21,Chris Morris ,8,RR,191.0,11,13,113,3,5,3,5
22,Moises Henriques ,62,SRH,191.0,9,11,57,19,13,1,13
23,Nathan Coulter-Nile ,3,DC,190.5,11,15,117,2,1,5,1
24,Rohit Sharma ,6,MI,188.5,16,0,0,41,21,5,21
25,Mitchell McClenaghan ,6,MI,188.0,12,18,118,0,2,0,2
26,Virat Kohli ,9,RCB,187.5,16,0,2,35,23,7,23
27,Ajinkya Rahane ,8,RR,185.5,14,0,0,53,13,3,13
28,David Wiese ,9,RCB,185.5,14,16,73,12,4,5,4
29,Ravindra Jadeja ,1,CSK,183.0,17,11,84,7,3,13,3
30,Shreyas Iyer ,3,DC,181.0,14,0,0,41,21,2,21
31,Yuzvendra Chahal ,9,RCB,180.5,15,23,90,0,0,4,0
